frame,openness,energy
803,7.5093,0.048971
804,7.9493,0.047350
805,7.2872,0.037331
806,7.0754,0.040449
807,6.6107,0.034726
808,6.5213,0.034681
809,5.9652,0.029367
810,5.5851,0.060885
811,5.8013,0.176359
812,6.1406,0.200616
813,5.6755,0.202834
814,5.6666,0.194333
815,5.7299,0.103868
816,5.8012,0.077017
817,5.5574,0.099023
818,5.3187,0.108829
819,5.6640,0.107003
820,5.5246,0.083740
821,6.0588,0.046913
822,5.9878,0.052134
823,6.6376,0.171753
824,6.0796,0.184719
825,5.8654,0.185760
826,5.2535,0.179282
827,5.7832,0.074617
828,5.8750,0.035847
829,7.0625,0.037397
830,7.3249,0.036945
831,6.6986,0.037635
832,2.8531,0.048970
833,4.6056,0.071142
834,4.8878,0.075954
835,4.9199,0.073968
836,4.9388,0.064508
837,5.8831,0.038766
838,5.6390,0.053404
839,4.5151,0.065193
840,4.7199,0.071285
841,6.7622,0.068755
842,6.1346,0.050405
843,5.9514,0.032523
844,6.3232,0.013984
845,6.0344,0.005781
846,6.2501,0.000950
847,6.6664,0.000089
848,6.9451,0.000000
849,4.8988,0.000000
850,4.8988,0.000000
851,7.2359,0.000000
852,5.6019,0.000107
853,4.7357,0.000126
854,4.9955,0.000687
855,5.1562,0.035896
856,5.5335,0.061409
857,5.2932,0.065727
858,5.3619,0.067192
859,5.4316,0.057528
860,6.0297,0.030546
861,5.0599,0.023776
862,4.7364,0.024576
863,5.8590,0.029569
864,6.1319,0.029055
865,6.5835,0.025818
866,6.9659,0.022175
867,6.8880,0.012736
868,6.9498,0.026520
869,6.3455,0.032359
870,6.1458,0.034881
871,6.2618,0.035984
872,6.1003,0.026291
873,6.1523,0.039774
874,6.4525,0.060647
875,6.1052,0.064574
876,6.0709,0.064510
877,5.6813,0.066938
878,5.3931,0.092693
879,4.9405,0.097456
880,5.1920,0.097592
881,5.6769,0.089432
882,5.5038,0.042937
883,5.6132,0.024690
884,6.5224,0.058931
885,5.4985,0.069358
886,5.0452,0.068055
887,3.3052,0.066398
888,4.0078,0.052457
889,5.5453,0.056801
890,6.4841,0.064486
891,5.5441,0.064611
892,5.6020,0.054346
893,6.2094,0.039147
894,5.5156,0.040345
895,3.8780,0.042276
896,4.1208,0.042259
897,4.7253,0.037048
898,2.7648,0.016397
899,4.0475,0.023829
900,6.4279,0.036432
901,6.2806,0.040819
902,6.5557,0.041225
903,6.5314,0.040493
904,7.0635,0.034485
905,6.7975,0.032862
906,6.3319,0.038939
907,6.1002,0.035621
908,6.1384,0.031405
909,6.1512,0.027675
910,3.9637,0.017256
911,7.2687,0.011638
912,7.5441,0.010587
